,code,trade_date,ts_code,name,vol,ratio,exchange
0,30002,20210201,688002.SH,睿創微納,511854,0.22,SH
1,30006,20210201,688006.SH,杭可科技,43446,0.03,SH
2,30008,20210201,688008.SH,瀾起科技,939010,0.22,SH
3,30009,20210201,688009.SH,中國通號,730400,0.03,SH
4,30012,20210201,688012.SH,中微公司,101130,0.04,SH
5,30019,20210201,688019.SH,安集科技,30802,0.1,SH
6,30122,20210201,688122.SH,西部超導,766900,0.24,SH
7,30139,20210201,688139.SH,海爾生物,90153,0.04,SH
8,30180,20210201,688180.SH,君實生物,53237,0.07,SH
9,30185,20210201,688185.SH,康希諾-U,68950,0.29,SH
10,30366,20210201,688366.SH,昊海生科,33951,0.08,SH
11,30505,20210201,688505.SH,復旦張江,10896,0.01,SH
12,90000,20210201,600000.SH,浦發銀行,516180696,1.75,SH
13,90004,20210201,600004.SH,白雲機場,151915495,7.34,SH
14,90006,20210201,600006.SH,東風汽車,30082,0.0,SH
15,90007,20210201,600007.SH,中國國貿,11311142,1.12,SH
16,90008,20210201,600008.SH,首創股份,102015391,1.38,SH
17,90009,20210201,600009.SH,上海機場,265116965,24.24,SH
18,90010,20210201,600010.SH,包鋼股份,613836456,1.93,SH
19,90011,20210201,600011.SH,華能國際,164852996,1.49,SH
20,90012,20210201,600012.SH,皖通高速,17341761,1.48,SH
21,90015,20210201,600015.SH,華夏銀行,265630779,2.07,SH
22,90016,20210201,600016.SH,民生銀行,660730866,1.86,SH
23,90017,20210201,600017.SH,日照港,1699004,0.05,SH
24,90018,20210201,600018.SH,上港集團,151020209,0.65,SH
25,90019,20210201,600019.SH,寶鋼股份,1430488918,6.44,SH
26,90020,20210201,600020.SH,中原高速,18629087,0.82,SH
27,90021,20210201,600021.SH,上海電力,22526481,0.95,SH
28,90023,20210201,600023.SH,浙能電力,3939092,0.02,SH
29,90025,20210201,600025.SH,華能水電,61129498,0.33,SH
30,90026,20210201,600026.SH,中遠海能,36828313,1.34,SH
31,90027,20210201,600027.SH,華電國際,81494783,1.0,SH
32,90028,20210201,600028.SH,中國石化,1054745760,1.1,SH
33,90029,20210201,600029.SH,南方航空,637457826,7.85,SH
34,90030,20210201,600030.SH,中信證券,321182259,3.27,SH
35,90031,20210201,600031.SH,三一重工,769152263,9.07,SH
36,90033,20210201,600033.SH,福建高速,822291,0.02,SH
37,90036,20210201,600036.SH,招商銀行,1179549706,5.71,SH
38,90037,20210201,600037.SH,歌華有線,453975,0.03,SH
39,90038,20210201,600038.SH,中直股份,13713090,2.32,SH
40,90039,20210201,600039.SH,四川路橋,59076292,1.63,SH
41,90048,20210201,600048.SH,保利地產,520822748,4.35,SH
42,90050,20210201,600050.SH,中國聯通,82112753,0.26,SH
43,90053,20210201,600053.SH,九鼎投資,6135244,1.41,SH
44,90054,20210201,600054.SH,黃山旅遊,1143780,0.22,SH
45,90056,20210201,600056.SH,中國醫藥,11739859,1.09,SH
46,90057,20210201,600057.SH,廈門象嶼,26567047,1.23,SH
47,90058,20210201,600058.SH,五礦發展,118659,0.01,SH
48,90059,20210201,600059.SH,古越龍山,217608,0.02,SH
49,90060,20210201,600060.SH,海信視像,8499337,0.64,SH
50,90061,20210201,600061.SH,國投資本,43764641,1.03,SH
51,90062,20210201,600062.SH,華潤雙鶴,32647981,3.12,SH
52,90063,20210201,600063.SH,皖維高新,1551641,0.08,SH
53,90064,20210201,600064.SH,南京高科,1159414,0.09,SH
54,90066,20210201,600066.SH,宇通客車,168005371,7.58,SH
55,90067,20210201,600067.SH,冠城大通,973373,0.06,SH
56,90068,20210201,600068.SH,葛洲壩,70296915,1.52,SH
57,90070,20210201,600070.SH,浙江富潤,3692421,0.7,SH
58,90072,20210201,600072.SH,中船科技,2900803,0.39,SH
59,90073,20210201,600073.SH,上海梅林,6123807,0.65,SH
60,90075,20210201,600075.SH,新疆天業,33911,0.0,SH
61,90077,20210201,600077.SH,宋都股份,249,0.0,SH
62,90078,20210201,600078.SH,澄星股份,6215,0.0,SH
63,90079,20210201,600079.SH,人福醫藥,35073604,2.59,SH
64,90081,20210201,600081.SH,東風科技,260608,0.08,SH
65,90085,20210201,600085.SH,同仁堂,7177181,0.52,SH
66,90086,20210201,600086.SH,退市金鈺,1827,0.0,SH
67,90088,20210201,600088.SH,中視傳媒,189696,0.04,SH
68,90089,20210201,600089.SH,特變電工,65647140,1.76,SH
69,90093,20210201,600093.SH,易見股份,4487688,0.39,SH
70,90094,20210201,600094.SH,大名城,52742108,2.31,SH
71,90096,20210201,600096.SH,雲天化,203687,0.01,SH
72,90098,20210201,600098.SH,廣州發展,1031363,0.03,SH
