,Date,Stock_Code,Stock_Name,Shareholding,Shareholding_Percent
5, 2021/01/25,90009,上海機場,"261,477,676",23.91
1839, 2021/01/25,77012,華測檢測,"361,596,358",21.66
1986, 2021/01/25,77285,國瓷材料,"196,652,579",19.59
1646, 2021/01/25,72572,索菲亞,"169,799,337",18.61
1083, 2021/01/25,70651,格力電器,"1,089,581,270",18.11
703, 2021/01/25,91901,方正證券,"1,470,674,825",17.86
1638, 2021/01/25,72557,洽洽食品,"86,724,213",17.1
116, 2021/01/25,90201,生物股份,"184,251,770",16.45
824, 2021/01/25,93489,八方股份,"11,620,595",16.27
2072, 2021/01/25,77450,先導智能,"145,297,514",16.01
894, 2021/01/25,93786,科博達,"6,314,405",15.74
1561, 2021/01/25,72439,啟明星辰,"144,406,519",15.46
997, 2021/01/25,70333,美的集團,"1,066,789,332",15.15
1264, 2021/01/25,72008,大族激光,"161,162,015",15.1
1442, 2021/01/25,72271,東方雨虹,"347,255,796",14.79
2026, 2021/01/25,77347,泰格醫藥,"110,073,179",14.68
998, 2021/01/25,70338,濰柴動力,"875,845,659",14.61
502, 2021/01/25,90885,宏發股份,"107,851,567",14.48
888, 2021/01/25,93737,三棵樹,"36,315,555",13.93
1607, 2021/01/25,72508,老闆電器,"127,983,783",13.48
1745, 2021/01/25,72747,埃斯頓,"110,375,912",13.13
223, 2021/01/25,90406,國電南瑞,"578,521,280",12.62
504, 2021/01/25,90887,伊利股份,"748,290,208",12.61
148, 2021/01/25,90276,恆瑞醫藥,"666,502,390",12.56
493, 2021/01/25,90872,中炬高新,"99,198,515",12.45
887, 2021/01/25,93733,仙鶴股份,"19,429,930",12.45
587, 2021/01/25,91138,工業富聯,"359,203,702",12.38
1500, 2021/01/25,72353,傑瑞股份,"113,523,268",11.85
1967, 2021/01/25,77244,迪安診斷,"73,307,535",11.81
1536, 2021/01/25,72410,廣聯達,"136,548,038",11.51
913, 2021/01/25,93882,金域醫學,"51,685,491",11.24
575, 2021/01/25,91100,恆立液壓,"145,663,423",11.15
161, 2021/01/25,90298,安琪酵母,"88,270,277",10.71
1278, 2021/01/25,72027,分眾傳媒,"1,568,231,943",10.68
166, 2021/01/25,90309,萬華化學,"151,748,629",10.65
784, 2021/01/25,93259,藥明康得,"150,367,383",10.64
1767, 2021/01/25,72812,恩捷股份,"93,708,979",10.56
882, 2021/01/25,93713,密爾克衛,"7,137,037",10.4
927, 2021/01/25,93939,益豐藥房,"53,345,358",10.35
699, 2021/01/25,91888,中國國旅,"196,142,420",10.04
943, 2021/01/25,70001,平安銀行,"1,946,471,522",10.03
322, 2021/01/25,90585,海螺水泥,"390,841,954",9.77
475, 2021/01/25,90835,上海機電,"78,029,392",9.67
781, 2021/01/25,93236,移遠通信,"6,807,938",9.58
1720, 2021/01/25,72690,美亞光電,"63,994,508",9.46
801, 2021/01/25,93338,浙江鼎力,"45,758,602",9.42
394, 2021/01/25,90699,均勝電子,"115,631,856",9.34
1902, 2021/01/25,77124,匯川技術,"159,934,428",9.3
23, 2021/01/25,90031,三一重工,"779,640,266",9.19
2002, 2021/01/25,77308,中際旭創,"65,497,715",9.18
573, 2021/01/25,91098,中南傳媒,"158,470,518",8.82
851, 2021/01/25,93605,珀萊雅,"17,613,944",8.77
645, 2021/01/25,91598,中國外運,"117,526,187",8.69
1298, 2021/01/25,72050,三花智控,"308,291,337",8.58
559, 2021/01/25,91012,隆基股份,"322,520,326",8.55
1354, 2021/01/25,72138,順絡電子,"68,827,116",8.53
138, 2021/01/25,90258,首旅酒店,"82,980,177",8.47
1007, 2021/01/25,70423,東阿阿膠,"55,361,591",8.46
2094, 2021/01/25,77496,中科創達,"35,470,727",8.38
1251, 2021/01/25,70999,華潤三九,"81,329,060",8.3
1053, 2021/01/25,70581,威孚高科,"69,411,474",8.29
443, 2021/01/25,90782,新鋼股份,"262,242,174",8.22
651, 2021/01/25,91615,明陽智能,"80,745,904",8.21
282, 2021/01/25,90519,貴州茅台,"102,863,684",8.18
1, 2021/01/25,90004,白雲機場,"169,017,309",8.16
1577, 2021/01/25,72463,滬電股份,"140,190,819",8.12
1781, 2021/01/25,72851,麥格米特,"40,763,895",8.12
390, 2021/01/25,90690,海爾智家,"509,645,804",8.07
914, 2021/01/25,93883,老百姓,"32,470,276",7.97
370, 2021/01/25,90660,福耀玻璃,"159,442,721",7.96
1915, 2021/01/25,77146,湯臣倍健,"125,820,181",7.95
454, 2021/01/25,90803,新奧股份,"97,511,931",7.93
619, 2021/01/25,91318,中國平安,"844,219,101",7.79
21, 2021/01/25,90029,南方航空,"632,563,747",7.79
313, 2021/01/25,90570,恆生電子,"81,070,895",7.76
993, 2021/01/25,70157,中聯重科,"507,896,482",7.74
694, 2021/01/25,91877,正泰電器,"164,809,844",7.66
2171, 2021/01/25,77724,捷佳偉創,"24,618,125",7.66
1347, 2021/01/25,72127,南極電商,"187,694,355",7.64
823, 2021/01/25,93486,科沃斯,"13,569,948",7.55
1210, 2021/01/25,70921,海信家電,"67,971,778",7.52
1873, 2021/01/25,77073,當升科技,"34,085,523",7.51
1981, 2021/01/25,77271,華宇軟件,"61,357,006",7.51
690, 2021/01/25,91865,福來特,"32,533,286",7.47
1830, 2021/01/25,77001,特銳德,"74,418,701",7.45
1608, 2021/01/25,72511,中順潔柔,"96,021,666",7.31
273, 2021/01/25,90507,方大特鋼,"157,753,699",7.31
42, 2021/01/25,90066,宇通客車,"161,577,188",7.29
903, 2021/01/25,93833,歐派家居,"43,700,511",7.26
999, 2021/01/25,70400,許繼電氣,"72,929,424",7.23
1392, 2021/01/25,72202,金風科技,"248,426,526",7.19
2162, 2021/01/25,77685,艾德生物,"15,805,162",7.12
1841, 2021/01/25,77015,愛爾眼科,"293,044,792",7.11
1030, 2021/01/25,70538,雲南白藥,"90,450,121",7.08
104, 2021/01/25,90176,中國巨石,"246,439,729",7.03
82, 2021/01/25,90132,重慶啤酒,"33,699,668",6.96
452, 2021/01/25,90801,華新水泥,"94,465,168",6.93
1983, 2021/01/25,77274,陽光電源,"100,356,014",6.88
1586, 2021/01/25,72475,立訊精密,"483,266,575",6.88
13, 2021/01/25,90019,寶鋼股份,"1,496,053,181",6.73
841, 2021/01/25,93587,地素時尚,"7,582,757",6.65
1918, 2021/01/25,77149,量子生物,"32,945,862",6.59
2046, 2021/01/25,77383,光環新網,"101,641,491",6.58
1143, 2021/01/25,70786,北新建材,"110,124,476",6.51
1420, 2021/01/25,72242,九陽股份,"49,990,027",6.51
416, 2021/01/25,90741,華域汽車,"205,141,349",6.5
796, 2021/01/25,93317,天味食品,"8,149,876",6.5
922, 2021/01/25,93915,國茂股份,"8,096,906",6.48
1119, 2021/01/25,70725,京東方Ａ,"2,181,981,607",6.44
1972, 2021/01/25,77253,衛寧健康,"136,031,853",6.35
677, 2021/01/25,91799,星宇股份,"17,503,085",6.33
440, 2021/01/25,90779,水井坊,"30,675,307",6.28
944, 2021/01/25,70002,萬 科Ａ,"607,744,368",6.24
1771, 2021/01/25,72831,裕同科技,"58,570,137",6.24
1316, 2021/01/25,72080,中材科技,"104,158,894",6.2
1419, 2021/01/25,72241,歌爾股份,"203,993,396",6.16
789, 2021/01/25,93288,海天味業,"199,875,532",6.16
422, 2021/01/25,90754,錦江股份,"48,790,392",6.08
1346, 2021/01/25,72126,銀輪股份,"47,538,520",6.0
825, 2021/01/25,93501,韋爾股份,"45,798,945",5.83
2187, 2021/01/25,77760,邁瑞醫療,"70,871,206",5.82
1217, 2021/01/25,70932,華菱鋼鐵,"353,691,901",5.77
25, 2021/01/25,90036,招商銀行,"1,188,866,288",5.76
1178, 2021/01/25,70860,順鑫農業,"42,450,966",5.72
1995, 2021/01/25,77298,三諾生物,"32,328,468",5.71
686, 2021/01/25,91838,成都銀行,"107,367,178",5.66
490, 2021/01/25,90867,通化東寶,"114,637,391",5.65
2183, 2021/01/25,77750,寧德時代,"131,031,933",5.62
770, 2021/01/25,93185,上機數控,"4,380,651",5.6
237, 2021/01/25,90438,通威股份,"238,525,361",5.56
1112, 2021/01/25,70710,貝瑞基因,"19,582,943",5.52
1411, 2021/01/25,72230,科大訊飛,"122,428,759",5.5
1177, 2021/01/25,70858,五 糧 液,"213,852,807",5.5
711, 2021/01/25,91939,建設銀行,"526,622,272",5.48
934, 2021/01/25,93986,兆易創新,"23,855,945",5.43
511, 2021/01/25,90900,長江電力,"1,229,469,282",5.4
828, 2021/01/25,93515,歐普照明,"40,500,975",5.37
1008, 2021/01/25,70425,徐工機械,"417,814,595",5.33
1950, 2021/01/25,77207,欣旺達,"83,805,636",5.32
1283, 2021/01/25,72032,蘇 泊 爾,"43,613,348",5.31
290, 2021/01/25,90529,山東藥玻,"31,631,932",5.31
2181, 2021/01/25,77747,銳科激光,"15,274,631",5.3
2137, 2021/01/25,77624,萬興科技,"6,877,353",5.29
1513, 2021/01/25,72372,偉星新材,"83,918,195",5.27
164, 2021/01/25,90305,恆順醋業,"52,704,597",5.25
1837, 2021/01/25,77010,豆神教育,"45,628,628",5.25
907, 2021/01/25,93866,桃李麵包,"35,478,232",5.21
852, 2021/01/25,93606,東方電纜,"33,987,339",5.19
1512, 2021/01/25,72371,北方華創,"25,464,072",5.12
909, 2021/01/25,93871,嘉友國際,"2,814,765",5.12
865, 2021/01/25,93658,安圖生物,"21,907,013",5.08
1263, 2021/01/25,72007,華蘭生物,"92,255,344",5.05
1286, 2021/01/25,72035,華帝股份,"43,508,141",5.0
1140, 2021/01/25,70778,新興鑄管,"199,437,495",4.99
108, 2021/01/25,90183,生益科技,"113,415,285",4.95
2080, 2021/01/25,77463,邁克生物,"27,582,368",4.95
204, 2021/01/25,90380,健康元,"95,794,398",4.9
985, 2021/01/25,70089,深圳機場,"99,792,125",4.86
1728, 2021/01/25,72706,良信股份,"37,987,831",4.84
1866, 2021/01/25,77059,東方財富,"414,724,465",4.81
1770, 2021/01/25,72821,凱萊英,"11,643,506",4.8
1896, 2021/01/25,77115,長盈精密,"47,498,128",4.74
901, 2021/01/25,93816,顧家家居,"29,458,270",4.72
1606, 2021/01/25,72507,涪陵榨菜,"37,118,801",4.7
1562, 2021/01/25,72440,閏土股份,"53,643,643",4.66
586, 2021/01/25,91128,常熟銀行,"120,883,478",4.64
1074, 2021/01/25,70625,長安汽車,"205,022,805",4.59
1532, 2021/01/25,72405,四維圖新,"89,058,871",4.54
1574, 2021/01/25,72460,贛鋒鋰業,"49,953,030",4.53
849, 2021/01/25,93601,再升科技,"32,299,371",4.49
1695, 2021/01/25,72648,衛星石化,"54,749,892",4.46
109, 2021/01/25,90185,格力地產,"90,948,355",4.41
2186, 2021/01/25,77759,康龍化成,"29,128,875",4.41
199, 2021/01/25,90373,中文傳媒,"59,631,115",4.4
1017, 2021/01/25,70513,麗珠集團,"27,403,814",4.38
29, 2021/01/25,90048,保利地產,"523,852,010",4.37
989, 2021/01/25,70100,TCL科技,"613,838,826",4.37
1114, 2021/01/25,70717,韶鋼松山,"105,638,303",4.36
1025, 2021/01/25,70528,柳 工,"64,334,022",4.35
896, 2021/01/25,93799,華友鈷業,"47,924,398",4.32
1085, 2021/01/25,70656,金科股份,"231,033,040",4.32
843, 2021/01/25,93589,口子窖,"25,793,017",4.29
