,Date,Stock_Code,Stock_Name,Shareholding,Shareholding_Percent
0, 2021/01/23,90000,浦發銀行,"498,525,122",1.69
1, 2021/01/23,90004,白雲機場,"170,061,441",8.21
2, 2021/01/23,90006,東風汽車,"30,582",0.00
3, 2021/01/23,90007,中國國貿,"11,255,272",1.11
4, 2021/01/23,90008,首創股份,"101,296,725",1.37
5, 2021/01/23,90009,上海機場,"263,635,367",24.10
6, 2021/01/23,90010,包鋼股份,"645,891,447",2.03
7, 2021/01/23,90011,華能國際,"171,651,181",1.56
8, 2021/01/23,90012,皖通高速,"15,155,147",1.30
9, 2021/01/23,90015,華夏銀行,"256,819,288",2.00
10, 2021/01/23,90016,民生銀行,"693,866,877",1.95
11, 2021/01/23,90017,日照港,"1,699,004",0.05
12, 2021/01/23,90018,上港集團,"151,046,696",0.65
13, 2021/01/23,90019,寶鋼股份,"1,498,916,271",6.74
14, 2021/01/23,90020,中原高速,"17,477,931",0.77
15, 2021/01/23,90021,上海電力,"22,836,049",0.97
16, 2021/01/23,90023,浙能電力,"3,972,960",0.02
17, 2021/01/23,90025,華能水電,"52,561,153",0.29
18, 2021/01/23,90026,中遠海能,"36,498,273",1.33
19, 2021/01/23,90027,華電國際,"85,288,263",1.04
20, 2021/01/23,90028,中國石化,"1,091,473,395",1.14
21, 2021/01/23,90029,南方航空,"633,276,508",7.80
22, 2021/01/23,90030,中信證券,"336,279,820",3.42
23, 2021/01/23,90031,三一重工,"791,971,381",9.34
24, 2021/01/23,90033,福建高速,"822,491",0.02
25, 2021/01/23,90036,招商銀行,"1,184,956,261",5.74
26, 2021/01/23,90037,歌華有線,"455,175",0.03
27, 2021/01/23,90038,中直股份,"12,563,366",2.13
28, 2021/01/23,90039,四川路橋,"41,592,181",1.15
29, 2021/01/23,90048,保利地產,"524,856,618",4.38
30, 2021/01/23,90050,中國聯通,"89,403,552",0.29
31, 2021/01/23,90053,九鼎投資,"5,919,816",1.36
32, 2021/01/23,90054,黃山旅遊,"1,143,780",0.22
33, 2021/01/23,90056,中國醫藥,"12,150,340",1.13
34, 2021/01/23,90057,廈門象嶼,"27,052,852",1.25
35, 2021/01/23,90058,五礦發展,"118,659",0.01
36, 2021/01/23,90059,古越龍山,"217,608",0.02
37, 2021/01/23,90060,海信視像,"12,680,049",0.96
38, 2021/01/23,90061,國投資本,"43,796,270",1.03
39, 2021/01/23,90062,華潤雙鶴,"33,388,854",3.20
40, 2021/01/23,90063,皖維高新,"1,551,641",0.08
41, 2021/01/23,90064,南京高科,"1,159,414",0.09
42, 2021/01/23,90066,宇通客車,"155,443,565",7.02
